player_name_clean,year_ahead,attribute,value,percentile
aj johnson,1,Playmaking,53.7881624761753,63.1
aj johnson,1,Rebounding,36.8767633229332,15.4
aj johnson,1,Scoring,46.1898456078796,25.1
aj johnson,1,Shooting,50.120209389473,16.6
aj johnson,2,Efficiency,71.3181215110779,22.0
aj johnson,2,Impact,56.4139297808075,16.6
aj johnson,2,Interior_Defense,56.794114366806,20.4
aj johnson,2,Perimeter_Defense,53.0667812451477,15.2
aj johnson,2,Playmaking,53.7785735230677,61.5
aj johnson,2,Rebounding,35.9673901587563,11.8
aj johnson,2,Scoring,47.9348072272568,32.7
aj johnson,2,Shooting,52.2544677789459,22.4
aj johnson,3,Efficiency,72.1644773665428,23.8
aj johnson,3,Impact,57.4368862042689,21.4
aj johnson,3,Interior_Defense,57.55848528508,24.4
aj johnson,3,Perimeter_Defense,55.7473826035614,23.0
aj johnson,3,Playmaking,54.0303944151633,60.9
aj johnson,3,Rebounding,35.3208118468361,10.4
aj johnson,3,Scoring,49.745999739769,39.9
aj johnson,3,Shooting,53.9984579022179,27.3
aj johnson,4,Efficiency,73.3507206175089,25.5
aj johnson,4,Impact,58.4544870982432,24.4
aj johnson,4,Interior_Defense,57.1038090741997,20.8
aj johnson,4,Perimeter_Defense,57.6399550065155,26.9
aj johnson,4,Playmaking,54.3366867404215,60.3
aj johnson,4,Rebounding,34.7490172177391,8.8
aj johnson,4,Scoring,51.6255900126724,47.7
aj johnson,4,Shooting,55.7715445692787,33.3
aj johnson,5,Efficiency,74.2237539771557,26.9
aj johnson,5,Impact,59.3977396542692,28.1
aj johnson,5,Interior_Defense,56.5191442227726,20.4
aj johnson,5,Perimeter_Defense,59.2825312241669,36.9
aj johnson,5,Playmaking,54.3334075573616,56.7
aj johnson,5,Rebounding,34.5308043747978,7.6
aj johnson,5,Scoring,52.4454924327164,49.5
aj johnson,5,Shooting,56.5427121008883,31.9
ajay mitchell,0,Efficiency,82.291386,73.7
ajay mitchell,0,Impact,63.529139,60.7
ajay mitchell,0,Interior_Defense,57.849674,41.9
ajay mitchell,0,Perimeter_Defense,68.659485,91.0
ajay mitchell,0,Playmaking,56.946026,71.3
ajay mitchell,0,Rebounding,39.449247,24.0
ajay mitchell,0,Scoring,57.960463,70.1
ajay mitchell,0,Shooting,59.195605,47.1
ajay mitchell,1,Efficiency,83.2748887456284,84.6
ajay mitchell,1,Impact,64.9658603249207,71.9
ajay mitchell,1,Interior_Defense,59.0965157882919,44.7
ajay mitchell,1,Perimeter_Defense,69.8384441312408,91.6
ajay mitchell,1,Playmaking,58.5509936537514,75.2
ajay mitchell,1,Rebounding,38.9726167295189,23.6
ajay mitchell,1,Scoring,61.1563050276642,73.3
ajay mitchell,1,Shooting,61.3553181192684,59.3
ajay mitchell,2,Efficiency,84.2381426013336,88.6
ajay mitchell,2,Impact,66.0569573817863,76.0
ajay mitchell,2,Interior_Defense,59.8339782492867,47.1
ajay mitchell,2,Perimeter_Defense,70.5452323134995,93.2
ajay mitchell,2,Playmaking,60.4139119710693,78.4
ajay mitchell,2,Rebounding,38.4323593352051,22.6
ajay mitchell,2,Scoring,64.2015301710968,76.0
ajay mitchell,2,Shooting,63.5393750718641,67.5
ajay mitchell,3,Efficiency,85.3700308717117,90.0
ajay mitchell,3,Impact,67.020222920002,78.2
ajay mitchell,3,Interior_Defense,60.4632612602463,51.3
ajay mitchell,3,Perimeter_Defense,70.3362513955689,93.2
ajay mitchell,3,Playmaking,62.4307722177277,82.4
ajay mitchell,3,Rebounding,38.2964599255533,24.0
ajay mitchell,3,Scoring,66.8834504610901,76.6
ajay mitchell,3,Shooting,65.1572546115923,73.9
ajay mitchell,4,Efficiency,86.1144696391449,90.8
ajay mitchell,4,Impact,68.1992895184174,81.0
ajay mitchell,4,Interior_Defense,60.9798613326302,55.1
ajay mitchell,4,Perimeter_Defense,70.0861032780266,93.4
ajay mitchell,4,Playmaking,63.8303979065189,87.0
ajay mitchell,4,Rebounding,38.0812450323315,23.8
ajay mitchell,4,Scoring,69.2226681239013,78.0
ajay mitchell,4,Shooting,67.0147694847393,81.6
ajay mitchell,5,Efficiency,87.3238352454529,91.6
ajay mitchell,5,Impact,69.1885703383102,81.6
ajay mitchell,5,Interior_Defense,61.4157905714264,59.1
ajay mitchell,5,Perimeter_Defense,69.9321689780808,94.2
ajay mitchell,5,Playmaking,64.9428124602804,88.6
ajay mitchell,5,Rebounding,37.8660301391096,24.2
ajay mitchell,5,Scoring,70.4698537117844,77.8
ajay mitchell,5,Shooting,69.0108856060389,88.0
al horford,0,Efficiency,80.903829,63.5
al horford,0,Impact,71.753706,90.6
al horford,0,Interior_Defense,72.435832,90.4
al horford,0,Perimeter_Defense,57.071857,54.1
al horford,0,Playmaking,56.368899,70.3
al horford,0,Rebounding,60.778256,81.8
al horford,0,Scoring,51.55512,50.9
al horford,0,Shooting,67.524148,76.6
al horford,1,Efficiency,78.8249360537567,57.1
al horford,1,Impact,69.9672365404663,88.4
al horford,1,Interior_Defense,71.307743585331,89.6
al horford,1,Perimeter_Defense,58.2714014297791,53.5
al horford,1,Playmaking,56.7212136510124,71.1
al horford,1,Rebounding,60.364855946022,79.8
al horford,1,Scoring,46.6060385791016,27.9
al horford,1,Shooting,59.524148,53.1
al horford,2,Efficiency,76.7460431075134,48.3
al horford,2,Impact,68.7114478963114,83.8
al horford,2,Interior_Defense,69.8916202547379,89.4
al horford,2,Perimeter_Defense,59.4341192489929,50.1
al horford,2,Playmaking,57.2892898145428,72.7
al horford,2,Rebounding,60.3599898228226,78.8
al horford,2,Scoring,42.9953827944946,6.0
al horford,2,Shooting,56.7597842342834,41.7
al horford,3,Efficiency,74.693414351944,37.7
al horford,3,Impact,67.6583344357707,80.8
al horford,3,Interior_Defense,69.0457330705948,88.2
al horford,3,Perimeter_Defense,60.4966805225677,48.7
al horford,3,Playmaking,57.7996310713997,72.1
al horford,3,Rebounding,61.1151608833847,79.0
al horford,3,Scoring,40.6927511779022,1.8
al horford,3,Shooting,56.2479452021103,38.5
al horford,4,Efficiency,73.917720518116,29.1
al horford,4,Impact,66.5102478084462,75.2
al horford,4,Interior_Defense,68.7433131697006,88.4
al horford,4,Perimeter_Defense,59.7627921348877,40.9
al horford,4,Playmaking,57.9282944324722,73.1
al horford,4,Rebounding,61.5896047958908,79.0
al horford,4,Scoring,39.1833461610031,1.0
al horford,4,Shooting,56.1144378013592,35.5
al horford,5,Efficiency,73.2025976991692,21.8
al horford,5,Impact,65.8621577240524,69.7
al horford,5,Interior_Defense,68.4853170873947,87.8
al horford,5,Perimeter_Defense,59.0039375072784,35.5
al horford,5,Playmaking,58.157829118084,73.1
al horford,5,Rebounding,62.3801440605698,80.0
al horford,5,Scoring,37.9346294639063,0.4
al horford,5,Shooting,56.5235271282177,31.1
alex caruso,0,Efficiency,78.761194,45.7
alex caruso,0,Impact,67.825532,81.0
alex caruso,0,Interior_Defense,66.060378,79.8
alex caruso,0,Perimeter_Defense,83.37361,99.4
alex caruso,0,Playmaking,60.209881,78.2
alex caruso,0,Rebounding,38.897759,22.0
alex caruso,0,Scoring,46.237854,30.3
